Manufacturer,Model,Sales in thousands,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Curb weight,Fuel capacity,Fuel efficiency,Latest Launch
Acura        ,Integra          ,16.919,16.36,Passenger,21.5,1.8,140,2.639,13.2,28,02-Feb-14
Acura        ,TL               ,39.384,19.875,Passenger,28.4,3.2,225,3.517,17.2,25,06-Mar-15
Acura        ,CL               ,14.114,18.225,Passenger,,3.2,225,3.47,17.2,26,01-Apr-14
Acura        ,RL               ,8.588,29.725,Passenger,42,3.5,210,3.85,18,22,03-Oct-15
Audi         ,A4               ,20.397,22.255,Passenger,23.99,1.8,150,2.998,16.4,27,10-Aug-15
Audi         ,A6               ,18.78,23.555,Passenger,33.95,2.8,200,3.561,18.5,22,08-Sep-15
Audi         ,A8               ,1.38,39,Passenger,62,4.2,310,3.902,23.7,21,27-Feb-14
,323i             ,19.747,,Passenger,26.99,2.5,170,3.179,16.6,26,28-Jun-15
BMW          ,328i             ,9.231,28.675,Passenger,33.4,2.8,193,3.197,16.6,24,29-Jan-14
BMW          ,528i             ,17.527,36.125,Passenger,38.9,2.8,193,3.472,18.5,25,04-Apr-15
Buick        ,Century          ,91.561,12.475,Passenger,21.975,3.1,175,3.368,17.5,25,11-Feb-15
Buick        ,Regal            ,39.35,13.74,Passenger,25.3,3.8,240,3.543,17.5,23,09-Mar-15
Buick        ,Park Avenue      ,27.851,20.19,Passenger,31.965,3.8,205,3.778,18.5,24,23-Mar-14
Buick        ,,83.257,13.36,Passenger,27.885,3.8,205,3.591,17.5,25,23-Jul-15
Cadillac     ,DeVille          ,63.729,22.525,Passenger,39.895,4.6,275,3.978,18.5,22,23-Feb-14
Cadillac     ,Seville          ,15.943,27.1,Passenger,44.475,4.6,275,,18.5,22,29-Apr-15
Cadillac     ,Eldorado         ,6.536,25.725,Passenger,39.665,4.6,275,3.843,19,22,27-Nov-15
Cadillac     ,Catera           ,11.185,18.225,Passenger,31.01,3,200,3.77,18,22,28-Sep-15
