Manufacturer,Model,Sales in thousands,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Wheelbase,Width,Length,Curb weight,Fuel capacity,Fuel efficiency,Latest Launch
Mercedes-Benz,CLK Coupe        ,11.592,,Passenger,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,07-Aug-15
Mercedes-Benz,CL500            ,0.954,,Passenger,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,04-Nov-15
Mercedes-Benz,M-Class          ,28.976,,Car,35.3,3.2,215,111,72.2,180.6,4.387,19,20,02-Oct-15
Nissan       ,Sentra           ,42.643,8.45,Passenger,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30,31-Aug-15
Nissan       ,Altima           ,88.094,11.295,Passenger,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,08-Feb-15
Nissan       ,Maxima           ,79.853,15.125,Passenger,26.249,3,222,108.3,70.3,190.5,3.294,,25,05-Jun-15
Nissan       ,Quest            ,27.308,15.38,Car,26.399,3.3,170,112.2,74.9,194.8,,20,21,03-Jul-15
Nissan       ,Pathfinder       ,42.574,17.81,Car,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19,25-Sep-15
Nissan       ,Xterra           ,54.158,,Car,22.799,3.3,170,104.3,70.4,178,3.821,19.4,18,24-Jan-15
Nissan       ,Frontier         ,65.005,,Car,,3.3,170,116.1,66.5,196.1,3.217,19.4,18,27-Aug-15
Oldsmobile   ,Cutlass          ,1.112,11.24,Passenger,18.145,3.1,150,107,69.4,192,3.102,15.2,25,31-May-15
Oldsmobile   ,Intrigue         ,38.554,,Passenger,24.15,3.5,215,109,73.6,195.9,3.455,18,,04-Jan-15
Oldsmobile   ,Alero            ,80.255,,Passenger,18.27,2.4,150,107,70.1,186.7,2.958,15,27,20-Oct-09
Oldsmobile   ,Aurora           ,14.69,19.89,Passenger,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22,18-Feb-15
Oldsmobile   ,Bravada          ,20.017,19.925,Car,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19,21-Sep-15
